Max profit 3333
 at price 1: 967, price 2: 934
Price 1 = 900, Profit 1: 100, Volume 1: 0, Price 2: 901 Profit 2: 99, Volume 2: 1, Total Profit: 99
Price 1 = 927, Profit 1: 73, Volume 1: 27, Price 2: 971 Profit 2: 29, Volume 2: 44, Total Profit: 3247
Price 1 = 927, Profit 1: 73, Volume 1: 27, Price 2: 972 Profit 2: 28, Volume 2: 45, Total Profit: 3231
Price 1 = 927, Profit 1: 73, Volume 1: 27, Price 2: 973 Profit 2: 27, Volume 2: 46, Total Profit: 3213
Price 1 = 927, Profit 1: 73, Volume 1: 27, Price 2: 974 Profit 2: 26, Volume 2: 47, Total Profit: 3193
Price 1 = 927, Profit 1: 73, Volume 1: 27, Price 2: 975 Profit 2: 25, Volume 2: 48, Total Profit: 3171
Price 1 = 927, Profit 1: 73, Volume 1: 27, Price 2: 976 Profit 2: 24, Volume 2: 49, Total Profit: 3147
Price 1 = 927, Profit 1: 73, Volume 1: 27, Price 2: 977 Profit 2: 23, Volume 2: 50, Total Profit: 3121
Price 1 = 927, Profit 1: 73, Volume 1: 27, Price 2: 978 Profit 2: 22, Volume 2: 51, Total Profit: 3093
Price 1 = 927, Profit 1: 73, Volume 1: 27, Price 2: 979 Profit 2: 21, Volume 2: 52, Total Profit: 3063
Price 1 = 927, Profit 1: 73, Volume 1: 27, Price 2: 980 Profit 2: 20, Volume 2: 53, Total Profit: 3031
Price 1 = 927, Profit 1: 73, Volume 1: 27, Price 2: 981 Profit 2: 19, Volume 2: 54, Total Profit: 2997
Price 1 = 927, Profit 1: 73, Volume 1: 27, Price 2: 982 Profit 2: 18, Volume 2: 55, Total Profit: 2961
Price 1 = 927, Profit 1: 73, Volume 1: 27, Price 2: 983 Profit 2: 17, Volume 2: 56, Total Profit: 2923
Price 1 = 927, Profit 1: 73, Volume 1: 27, Price 2: 984 Profit 2: 16, Volume 2: 57, Total Profit: 2883
Price 1 = 927, Profit 1: 73, Volume 1: 27, Price 2: 985 Profit 2: 15, Volume 2: 58, Total Profit: 2841
Price 1 = 927, Profit 1: 73, Volume 1: 27, Price 2: 986 Profit 2: 14, Volume 2: 59, Total Profit: 2797
Price 1 = 927, Profit 1: 73, Volume 1: 27, Price 2: 987 Profit 2: 13, Volume 2: 60, Total Profit: 2751
Price 1 = 927, Profit 1: 73, Volume 1: 27, Price 2: 988 Profit 2: 12, Volume 2: 61, Total Profit: 2703
Price 1 = 927, Profit 1: 73, Volume 1: 27, Price 2: 989 Profit 2: 11, Volume 2: 62, Total Profit: 2653
Price 1 = 927, Profit 1: 73, Volume 1: 27, Price 2: 990 Profit 2: 10, Volume 2: 63, Total Profit: 2601
Price 1 = 927, Profit 1: 73, Volume 1: 27, Price 2: 991 Profit 2: 9, Volume 2: 64, Total Profit: 2547
Price 1 = 927, Profit 1: 73, Volume 1: 27, Price 2: 992 Profit 2: 8, Volume 2: 65, Total Profit: 2491
Price 1 = 927, Profit 1: 73, Volume 1: 27, Price 2: 993 Profit 2: 7, Volume 2: 66, Total Profit: 2433
Price 1 = 927, Profit 1: 73, Volume 1: 27, Price 2: 994 Profit 2: 6, Volume 2: 67, Total Profit: 2373
Price 1 = 927, Profit 1: 73, Volume 1: 27, Price 2: 995 Profit 2: 5, Volume 2: 68, Total Profit: 2311
Price 1 = 927, Profit 1: 73, Volume 1: 27, Price 2: 996 Profit 2: 4, Volume 2: 69, Total Profit: 2247
Price 1 = 927, Profit 1: 73, Volume 1: 27, Price 2: 997 Profit 2: 3, Volume 2: 70, Total Profit: 2181
Price 1 = 927, Profit 1: 73, Volume 1: 27, Price 2: 998 Profit 2: 2, Volume 2: 71, Total Profit: 2113
Price 1 = 927, Profit 1: 73, Volume 1: 27, Price 2: 999 Profit 2: 1, Volume 2: 72, Total Profit: 2043
Price 1 = 928, Profit 1: 72, Volume 1: 28, Price 2: 929 Profit 2: 71, Volume 2: 1, Total Profit: 2087
Price 1 = 928, Profit 1: 72, Volume 1: 28, Price 2: 930 Profit 2: 70, Volume 2: 2, Total Profit: 2156
Price 1 = 928, Profit 1: 72, Volume 1: 28, Price 2: 931 Profit 2: 69, Volume 2: 3, Total Profit: 2223
Price 1 = 928, Profit 1: 72, Volume 1: 28, Price 2: 932 Profit 2: 68, Volume 2: 4, Total Profit: 2288
Price 1 = 928, Profit 1: 72, Volume 1: 28, Price 2: 933 Profit 2: 67, Volume 2: 5, Total Profit: 2351
Price 1 = 928, Profit 1: 72, Volume 1: 28, Price 2: 934 Profit 2: 66, Volume 2: 6, Total Profit: 2412
Price 1 = 928, Profit 1: 72, Volume 1: 28, Price 2: 935 Profit 2: 65, Volume 2: 7, Total Profit: 2471
Price 1 = 928, Profit 1: 72, Volume 1: 28, Price 2: 936 Profit 2: 64, Volume 2: 8, Total Profit: 2528
Price 1 = 928, Profit 1: 72, Volume 1: 28, Price 2: 937 Profit 2: 63, Volume 2: 9, Total Profit: 2583
Price 1 = 928, Profit 1: 72, Volume 1: 28, Price 2: 938 Profit 2: 62, Volume 2: 10, Total Profit: 2636
Price 1 = 928, Profit 1: 72, Volume 1: 28, Price 2: 939 Profit 2: 61, Volume 2: 11, Total Profit: 2687
Price 1 = 928, Profit 1: 72, Volume 1: 28, Price 2: 940 Profit 2: 60, Volume 2: 12, Total Profit: 2736
Price 1 = 928, Profit 1: 72, Volume 1: 28, Price 2: 941 Profit 2: 59, Volume 2: 13, Total Profit: 2783
Price 1 = 928, Profit 1: 72, Volume 1: 28, Price 2: 942 Profit 2: 58, Volume 2: 14, Total Profit: 2828
Price 1 = 928, Profit 1: 72, Volume 1: 28, Price 2: 943 Profit 2: 57, Volume 2: 15, Total Profit: 2871
Price 1 = 928, Profit 1: 72, Volume 1: 28, Price 2: 944 Profit 2: 56, Volume 2: 16, Total Profit: 2912
Price 1 = 928, Profit 1: 72, Volume 1: 28, Price 2: 945 Profit 2: 55, Volume 2: 17, Total Profit: 2951
Price 1 = 928, Profit 1: 72, Volume 1: 28, Price 2: 946 Profit 2: 54, Volume 2: 18, Total Profit: 2988
Price 1 = 928, Profit 1: 72, Volume 1: 28, Price 2: 947 Profit 2: 53, Volume 2: 19, Total Profit: 3023
Price 1 = 928, Profit 1: 72, Volume 1: 28, Price 2: 948 Profit 2: 52, Volume 2: 20, Total Profit: 3056
Price 1 = 928, Profit 1: 72, Volume 1: 28, Price 2: 949 Profit 2: 51, Volume 2: 21, Total Profit: 3087
Price 1 = 928, Profit 1: 72, Volume 1: 28, Price 2: 950 Profit 2: 50, Volume 2: 22, Total Profit: 3116
Price 1 = 928, Profit 1: 72, Volume 1: 28, Price 2: 951 Profit 2: 49, Volume 2: 23, Total Profit: 3143
Price 1 = 928, Profit 1: 72, Volume 1: 28, Price 2: 952 Profit 2: 48, Volume 2: 24, Total Profit: 3168
Price 1 = 928, Profit 1: 72, Volume 1: 28, Price 2: 953 Profit 2: 47, Volume 2: 25, Total Profit: 3191
Price 1 = 928, Profit 1: 72, Volume 1: 28, Price 2: 954 Profit 2: 46, Volume 2: 26, Total Profit: 3212
Price 1 = 928, Profit 1: 72, Volume 1: 28, Price 2: 955 Profit 2: 45, Volume 2: 27, Total Profit: 3231
Price 1 = 928, Profit 1: 72, Volume 1: 28, Price 2: 956 Profit 2: 44, Volume 2: 28, Total Profit: 3248
Price 1 = 928, Profit 1: 72, Volume 1: 28, Price 2: 957 Profit 2: 43, Volume 2: 29, Total Profit: 3263
Price 1 = 928, Profit 1: 72, Volume 1: 28, Price 2: 958 Profit 2: 42, Volume 2: 30, Total Profit: 3276
Price 1 = 928, Profit 1: 72, Volume 1: 28, Price 2: 959 Profit 2: 41, Volume 2: 31, Total Profit: 3287
Price 1 = 928, Profit 1: 72, Volume 1: 28, Price 2: 960 Profit 2: 40, Volume 2: 32, Total Profit: 3296
Price 1 = 928, Profit 1: 72, Volume 1: 28, Price 2: 961 Profit 2: 39, Volume 2: 33, Total Profit: 3303
Price 1 = 928, Profit 1: 72, Volume 1: 28, Price 2: 962 Profit 2: 38, Volume 2: 34, Total Profit: 3308
Price 1 = 928, Profit 1: 72, Volume 1: 28, Price 2: 963 Profit 2: 37, Volume 2: 35, Total Profit: 3311
Price 1 = 928, Profit 1: 72, Volume 1: 28, Price 2: 964 Profit 2: 36, Volume 2: 36, Total Profit: 3312
Price 1 = 928, Profit 1: 72, Volume 1: 28, Price 2: 965 Profit 2: 35, Volume 2: 37, Total Profit: 3311
Price 1 = 928, Profit 1: 72, Volume 1: 28, Price 2: 966 Profit 2: 34, Volume 2: 38, Total Profit: 3308
Price 1 = 928, Profit 1: 72, Volume 1: 28, Price 2: 967 Profit 2: 33, Volume 2: 39, Total Profit: 3303
Price 1 = 928, Profit 1: 72, Volume 1: 28, Price 2: 968 Profit 2: 32, Volume 2: 40, Total Profit: 3296
Price 1 = 928, Profit 1: 72, Volume 1: 28, Price 2: 969 Profit 2: 31, Volume 2: 41, Total Profit: 3287
Price 1 = 928, Profit 1: 72, Volume 1: 28, Price 2: 970 Profit 2: 30, Volume 2: 42, Total Profit: 3276
Price 1 = 928, Profit 1: 72, Volume 1: 28, Price 2: 971 Profit 2: 29, Volume 2: 43, Total Profit: 3263
Price 1 = 928, Profit 1: 72, Volume 1: 28, Price 2: 972 Profit 2: 28, Volume 2: 44, Total Profit: 3248
Price 1 = 928, Profit 1: 72, Volume 1: 28, Price 2: 973 Profit 2: 27, Volume 2: 45, Total Profit: 3231
Price 1 = 928, Profit 1: 72, Volume 1: 28, Price 2: 974 Profit 2: 26, Volume 2: 46, Total Profit: 3212
Price 1 = 928, Profit 1: 72, Volume 1: 28, Price 2: 975 Profit 2: 25, Volume 2: 47, Total Profit: 3191
Price 1 = 928, Profit 1: 72, Volume 1: 28, Price 2: 976 Profit 2: 24, Volume 2: 48, Total Profit: 3168
Price 1 = 928, Profit 1: 72, Volume 1: 28, Price 2: 977 Profit 2: 23, Volume 2: 49, Total Profit: 3143
Price 1 = 928, Profit 1: 72, Volume 1: 28, Price 2: 978 Profit 2: 22, Volume 2: 50, Total Profit: 3116
Price 1 = 928, Profit 1: 72, Volume 1: 28, Price 2: 979 Profit 2: 21, Volume 2: 51, Total Profit: 3087
Price 1 = 928, Profit 1: 72, Volume 1: 28, Price 2: 980 Profit 2: 20, Volume 2: 52, Total Profit: 3056
Price 1 = 928, Profit 1: 72, Volume 1: 28, Price 2: 981 Profit 2: 19, Volume 2: 53, Total Profit: 3023
Price 1 = 928, Profit 1: 72, Volume 1: 28, Price 2: 982 Profit 2: 18, Volume 2: 54, Total Profit: 2988
Price 1 = 928, Profit 1: 72, Volume 1: 28, Price 2: 983 Profit 2: 17, Volume 2: 55, Total Profit: 2951
Price 1 = 928, Profit 1: 72, Volume 1: 28, Price 2: 984 Profit 2: 16, Volume 2: 56, Total Profit: 2912
Price 1 = 928, Profit 1: 72, Volume 1: 28, Price 2: 985 Profit 2: 15, Volume 2: 57, Total Profit: 2871
Price 1 = 928, Profit 1: 72, Volume 1: 28, Price 2: 986 Profit 2: 14, Volume 2: 58, Total Profit: 2828
Price 1 = 928, Profit 1: 72, Volume 1: 28, Price 2: 987 Profit 2: 13, Volume 2: 59, Total Profit: 2783
Price 1 = 928, Profit 1: 72, Volume 1: 28, Price 2: 988 Profit 2: 12, Volume 2: 60, Total Profit: 2736
Price 1 = 928, Profit 1: 72, Volume 1: 28, Price 2: 989 Profit 2: 11, Volume 2: 61, Total Profit: 2687
Price 1 = 928, Profit 1: 72, Volume 1: 28, Price 2: 990 Profit 2: 10, Volume 2: 62, Total Profit: 2636
Price 1 = 928, Profit 1: 72, Volume 1: 28, Price 2: 991 Profit 2: 9, Volume 2: 63, Total Profit: 2583
Price 1 = 928, Profit 1: 72, Volume 1: 28, Price 2: 992 Profit 2: 8, Volume 2: 64, Total Profit: 2528
Price 1 = 928, Profit 1: 72, Volume 1: 28, Price 2: 993 Profit 2: 7, Volume 2: 65, Total Profit: 2471
Price 1 = 928, Profit 1: 72, Volume 1: 28, Price 2: 994 Profit 2: 6, Volume 2: 66, Total Profit: 2412
Price 1 = 928, Profit 1: 72, Volume 1: 28, Price 2: 995 Profit 2: 5, Volume 2: 67, Total Profit: 2351
Price 1 = 928, Profit 1: 72, Volume 1: 28, Price 2: 996 Profit 2: 4, Volume 2: 68, Total Profit: 2288
Price 1 = 928, Profit 1: 72, Volume 1: 28, Price 2: 997 Profit 2: 3, Volume 2: 69, Total Profit: 2223
Price 1 = 928, Profit 1: 72, Volume 1: 28, Price 2: 998 Profit 2: 2, Volume 2: 70, Total Profit: 2156
Price 1 = 928, Profit 1: 72, Volume 1: 28, Price 2: 999 Profit 2: 1, Volume 2: 71, Total Profit: 2087
Price 1 = 929, Profit 1: 71, Volume 1: 29, Price 2: 930 Profit 2: 70, Volume 2: 1, Total Profit: 2129
Price 1 = 929, Profit 1: 71, Volume 1: 29, Price 2: 931 Profit 2: 69, Volume 2: 2, Total Profit: 2197
Price 1 = 929, Profit 1: 71, Volume 1: 29, Price 2: 932 Profit 2: 68, Volume 2: 3, Total Profit: 2263
Price 1 = 929, Profit 1: 71, Volume 1: 29, Price 2: 933 Profit 2: 67, Volume 2: 4, Total Profit: 2327
Price 1 = 929, Profit 1: 71, Volume 1: 29, Price 2: 934 Profit 2: 66, Volume 2: 5, Total Profit: 2389
Price 1 = 929, Profit 1: 71, Volume 1: 29, Price 2: 935 Profit 2: 65, Volume 2: 6, Total Profit: 2449
Price 1 = 929, Profit 1: 71, Volume 1: 29, Price 2: 936 Profit 2: 64, Volume 2: 7, Total Profit: 2507
Price 1 = 929, Profit 1: 71, Volume 1: 29, Price 2: 937 Profit 2: 63, Volume 2: 8, Total Profit: 2563
Price 1 = 929, Profit 1: 71, Volume 1: 29, Price 2: 938 Profit 2: 62, Volume 2: 9, Total Profit: 2617
Price 1 = 929, Profit 1: 71, Volume 1: 29, Price 2: 939 Profit 2: 61, Volume 2: 10, Total Profit: 2669
Price 1 = 929, Profit 1: 71, Volume 1: 29, Price 2: 940 Profit 2: 60, Volume 2: 11, Total Profit: 2719
Price 1 = 929, Profit 1: 71, Volume 1: 29, Price 2: 941 Profit 2: 59, Volume 2: 12, Total Profit: 2767
Price 1 = 929, Profit 1: 71, Volume 1: 29, Price 2: 942 Profit 2: 58, Volume 2: 13, Total Profit: 2813
Price 1 = 929, Profit 1: 71, Volume 1: 29, Price 2: 943 Profit 2: 57, Volume 2: 14, Total Profit: 2857
Price 1 = 929, Profit 1: 71, Volume 1: 29, Price 2: 944 Profit 2: 56, Volume 2: 15, Total Profit: 2899
Price 1 = 929, Profit 1: 71, Volume 1: 29, Price 2: 945 Profit 2: 55, Volume 2: 16, Total Profit: 2939
Price 1 = 929, Profit 1: 71, Volume 1: 29, Price 2: 946 Profit 2: 54, Volume 2: 17, Total Profit: 2977
Price 1 = 929, Profit 1: 71, Volume 1: 29, Price 2: 947 Profit 2: 53, Volume 2: 18, Total Profit: 3013
Price 1 = 929, Profit 1: 71, Volume 1: 29, Price 2: 948 Profit 2: 52, Volume 2: 19, Total Profit: 3047
Price 1 = 929, Profit 1: 71, Volume 1: 29, Price 2: 949 Profit 2: 51, Volume 2: 20, Total Profit: 3079
Price 1 = 929, Profit 1: 71, Volume 1: 29, Price 2: 950 Profit 2: 50, Volume 2: 21, Total Profit: 3109
Price 1 = 929, Profit 1: 71, Volume 1: 29, Price 2: 951 Profit 2: 49, Volume 2: 22, Total Profit: 3137
Price 1 = 929, Profit 1: 71, Volume 1: 29, Price 2: 952 Profit 2: 48, Volume 2: 23, Total Profit: 3163
Price 1 = 929, Profit 1: 71, Volume 1: 29, Price 2: 953 Profit 2: 47, Volume 2: 24, Total Profit: 3187
Price 1 = 929, Profit 1: 71, Volume 1: 29, Price 2: 954 Profit 2: 46, Volume 2: 25, Total Profit: 3209
Price 1 = 929, Profit 1: 71, Volume 1: 29, Price 2: 955 Profit 2: 45, Volume 2: 26, Total Profit: 3229
Price 1 = 929, Profit 1: 71, Volume 1: 29, Price 2: 956 Profit 2: 44, Volume 2: 27, Total Profit: 3247
Price 1 = 929, Profit 1: 71, Volume 1: 29, Price 2: 957 Profit 2: 43, Volume 2: 28, Total Profit: 3263
Price 1 = 929, Profit 1: 71, Volume 1: 29, Price 2: 958 Profit 2: 42, Volume 2: 29, Total Profit: 3277
Price 1 = 929, Profit 1: 71, Volume 1: 29, Price 2: 959 Profit 2: 41, Volume 2: 30, Total Profit: 3289
Price 1 = 929, Profit 1: 71, Volume 1: 29, Price 2: 960 Profit 2: 40, Volume 2: 31, Total Profit: 3299
Price 1 = 929, Profit 1: 71, Volume 1: 29, Price 2: 961 Profit 2: 39, Volume 2: 32, Total Profit: 3307
Price 1 = 929, Profit 1: 71, Volume 1: 29, Price 2: 962 Profit 2: 38, Volume 2: 33, Total Profit: 3313
Price 1 = 929, Profit 1: 71, Volume 1: 29, Price 2: 963 Profit 2: 37, Volume 2: 34, Total Profit: 3317
Price 1 = 929, Profit 1: 71, Volume 1: 29, Price 2: 964 Profit 2: 36, Volume 2: 35, Total Profit: 3319
Price 1 = 929, Profit 1: 71, Volume 1: 29, Price 2: 965 Profit 2: 35, Volume 2: 36, Total Profit: 3319
Price 1 = 929, Profit 1: 71, Volume 1: 29, Price 2: 966 Profit 2: 34, Volume 2: 37, Total Profit: 3317
Price 1 = 929, Profit 1: 71, Volume 1: 29, Price 2: 967 Profit 2: 33, Volume 2: 38, Total Profit: 3313
Price 1 = 929, Profit 1: 71, Volume 1: 29, Price 2: 968 Profit 2: 32, Volume 2: 39, Total Profit: 3307
Price 1 = 929, Profit 1: 71, Volume 1: 29, Price 2: 969 Profit 2: 31, Volume 2: 40, Total Profit: 3299
Price 1 = 929, Profit 1: 71, Volume 1: 29, Price 2: 970 Profit 2: 30, Volume 2: 41, Total Profit: 3289
Price 1 = 929, Profit 1: 71, Volume 1: 29, Price 2: 971 Profit 2: 29, Volume 2: 42, Total Profit: 3277
Price 1 = 929, Profit 1: 71, Volume 1: 29, Price 2: 972 Profit 2: 28, Volume 2: 43, Total Profit: 3263
Price 1 = 929, Profit 1: 71, Volume 1: 29, Price 2: 973 Profit 2: 27, Volume 2: 44, Total Profit: 3247
Price 1 = 929, Profit 1: 71, Volume 1: 29, Price 2: 974 Profit 2: 26, Volume 2: 45, Total Profit: 3229
Price 1 = 929, Profit 1: 71, Volume 1: 29, Price 2: 975 Profit 2: 25, Volume 2: 46, Total Profit: 3209
Price 1 = 929, Profit 1: 71, Volume 1: 29, Price 2: 976 Profit 2: 24, Volume 2: 47, Total Profit: 3187
Price 1 = 929, Profit 1: 71, Volume 1: 29, Price 2: 977 Profit 2: 23, Volume 2: 48, Total Profit: 3163
Price 1 = 929, Profit 1: 71, Volume 1: 29, Price 2: 978 Profit 2: 22, Volume 2: 49, Total Profit: 3137
Price 1 = 929, Profit 1: 71, Volume 1: 29, Price 2: 979 Profit 2: 21, Volume 2: 50, Total Profit: 3109
Price 1 = 929, Profit 1: 71, Volume 1: 29, Price 2: 980 Profit 2: 20, Volume 2: 51, Total Profit: 3079
Price 1 = 929, Profit 1: 71, Volume 1: 29, Price 2: 981 Profit 2: 19, Volume 2: 52, Total Profit: 3047
Price 1 = 929, Profit 1: 71, Volume 1: 29, Price 2: 982 Profit 2: 18, Volume 2: 53, Total Profit: 3013
Price 1 = 929, Profit 1: 71, Volume 1: 29, Price 2: 983 Profit 2: 17, Volume 2: 54, Total Profit: 2977
Price 1 = 929, Profit 1: 71, Volume 1: 29, Price 2: 984 Profit 2: 16, Volume 2: 55, Total Profit: 2939
Price 1 = 929, Profit 1: 71, Volume 1: 29, Price 2: 985 Profit 2: 15, Volume 2: 56, Total Profit: 2899
Price 1 = 929, Profit 1: 71, Volume 1: 29, Price 2: 986 Profit 2: 14, Volume 2: 57, Total Profit: 2857
Price 1 = 929, Profit 1: 71, Volume 1: 29, Price 2: 987 Profit 2: 13, Volume 2: 58, Total Profit: 2813
Price 1 = 929, Profit 1: 71, Volume 1: 29, Price 2: 988 Profit 2: 12, Volume 2: 59, Total Profit: 2767
Price 1 = 929, Profit 1: 71, Volume 1: 29, Price 2: 989 Profit 2: 11, Volume 2: 60, Total Profit: 2719
Price 1 = 929, Profit 1: 71, Volume 1: 29, Price 2: 990 Profit 2: 10, Volume 2: 61, Total Profit: 2669
Price 1 = 929, Profit 1: 71, Volume 1: 29, Price 2: 991 Profit 2: 9, Volume 2: 62, Total Profit: 2617
Price 1 = 929, Profit 1: 71, Volume 1: 29, Price 2: 992 Profit 2: 8, Volume 2: 63, Total Profit: 2563
Price 1 = 929, Profit 1: 71, Volume 1: 29, Price 2: 993 Profit 2: 7, Volume 2: 64, Total Profit: 2507
Price 1 = 929, Profit 1: 71, Volume 1: 29, Price 2: 994 Profit 2: 6, Volume 2: 65, Total Profit: 2449
Price 1 = 929, Profit 1: 71, Volume 1: 29, Price 2: 995 Profit 2: 5, Volume 2: 66, Total Profit: 2389
Price 1 = 929, Profit 1: 71, Volume 1: 29, Price 2: 996 Profit 2: 4, Volume 2: 67, Total Profit: 2327
Price 1 = 929, Profit 1: 71, Volume 1: 29, Price 2: 997 Profit 2: 3, Volume 2: 68, Total Profit: 2263
Price 1 = 929, Profit 1: 71, Volume 1: 29, Price 2: 998 Profit 2: 2, Volume 2: 69, Total Profit: 2197
Price 1 = 929, Profit 1: 71, Volume 1: 29, Price 2: 999 Profit 2: 1, Volume 2: 70, Total Profit: 2129
Price 1 = 930, Profit 1: 70, Volume 1: 30, Price 2: 931 Profit 2: 69, Volume 2: 1, Total Profit: 2169
Price 1 = 930, Profit 1: 70, Volume 1: 30, Price 2: 932 Profit 2: 68, Volume 2: 2, Total Profit: 2236
Price 1 = 930, Profit 1: 70, Volume 1: 30, Price 2: 933 Profit 2: 67, Volume 2: 3, Total Profit: 2301
Price 1 = 930, Profit 1: 70, Volume 1: 30, Price 2: 934 Profit 2: 66, Volume 2: 4, Total Profit: 2364
Price 1 = 930, Profit 1: 70, Volume 1: 30, Price 2: 935 Profit 2: 65, Volume 2: 5, Total Profit: 2425
Price 1 = 930, Profit 1: 70, Volume 1: 30, Price 2: 936 Profit 2: 64, Volume 2: 6, Total Profit: 2484
Price 1 = 930, Profit 1: 70, Volume 1: 30, Price 2: 937 Profit 2: 63, Volume 2: 7, Total Profit: 2541
Price 1 = 930, Profit 1: 70, Volume 1: 30, Price 2: 938 Profit 2: 62, Volume 2: 8, Total Profit: 2596
Price 1 = 930, Profit 1: 70, Volume 1: 30, Price 2: 939 Profit 2: 61, Volume 2: 9, Total Profit: 2649
Price 1 = 930, Profit 1: 70, Volume 1: 30, Price 2: 940 Profit 2: 60, Volume 2: 10, Total Profit: 2700
Price 1 = 930, Profit 1: 70, Volume 1: 30, Price 2: 941 Profit 2: 59, Volume 2: 11, Total Profit: 2749
Price 1 = 930, Profit 1: 70, Volume 1: 30, Price 2: 942 Profit 2: 58, Volume 2: 12, Total Profit: 2796
Price 1 = 930, Profit 1: 70, Volume 1: 30, Price 2: 943 Profit 2: 57, Volume 2: 13, Total Profit: 2841
Price 1 = 930, Profit 1: 70, Volume 1: 30, Price 2: 944 Profit 2: 56, Volume 2: 14, Total Profit: 2884
Price 1 = 930, Profit 1: 70, Volume 1: 30, Price 2: 945 Profit 2: 55, Volume 2: 15, Total Profit: 2925
Price 1 = 930, Profit 1: 70, Volume 1: 30, Price 2: 946 Profit 2: 54, Volume 2: 16, Total Profit: 2964
Price 1 = 930, Profit 1: 70, Volume 1: 30, Price 2: 947 Profit 2: 53, Volume 2: 17, Total Profit: 3001
Price 1 = 930, Profit 1: 70, Volume 1: 30, Price 2: 948 Profit 2: 52, Volume 2: 18, Total Profit: 3036
Price 1 = 930, Profit 1: 70, Volume 1: 30, Price 2: 949 Profit 2: 51, Volume 2: 19, Total Profit: 3069
Price 1 = 930, Profit 1: 70, Volume 1: 30, Price 2: 950 Profit 2: 50, Volume 2: 20, Total Profit: 3100
Price 1 = 930, Profit 1: 70, Volume 1: 30, Price 2: 951 Profit 2: 49, Volume 2: 21, Total Profit: 3129
Price 1 = 930, Profit 1: 70, Volume 1: 30, Price 2: 952 Profit 2: 48, Volume 2: 22, Total Profit: 3156
Price 1 = 930, Profit 1: 70, Volume 1: 30, Price 2: 953 Profit 2: 47, Volume 2: 23, Total Profit: 3181
Price 1 = 930, Profit 1: 70, Volume 1: 30, Price 2: 954 Profit 2: 46, Volume 2: 24, Total Profit: 3204
Price 1 = 930, Profit 1: 70, Volume 1: 30, Price 2: 955 Profit 2: 45, Volume 2: 25, Total Profit: 3225
Price 1 = 930, Profit 1: 70, Volume 1: 30, Price 2: 956 Profit 2: 44, Volume 2: 26, Total Profit: 3244
Price 1 = 930, Profit 1: 70, Volume 1: 30, Price 2: 957 Profit 2: 43, Volume 2: 27, Total Profit: 3261
Price 1 = 930, Profit 1: 70, Volume 1: 30, Price 2: 958 Profit 2: 42, Volume 2: 28, Total Profit: 3276
Price 1 = 930, Profit 1: 70, Volume 1: 30, Price 2: 959 Profit 2: 41, Volume 2: 29, Total Profit: 3289
Price 1 = 930, Profit 1: 70, Volume 1: 30, Price 2: 960 Profit 2: 40, Volume 2: 30, Total Profit: 3300
Price 1 = 930, Profit 1: 70, Volume 1: 30, Price 2: 961 Profit 2: 39, Volume 2: 31, Total Profit: 3309
Price 1 = 930, Profit 1: 70, Volume 1: 30, Price 2: 962 Profit 2: 38, Volume 2: 32, Total Profit: 3316
Price 1 = 930, Profit 1: 70, Volume 1: 30, Price 2: 963 Profit 2: 37, Volume 2: 33, Total Profit: 3321
Price 1 = 930, Profit 1: 70, Volume 1: 30, Price 2: 964 Profit 2: 36, Volume 2: 34, Total Profit: 3324
Price 1 = 930, Profit 1: 70, Volume 1: 30, Price 2: 965 Profit 2: 35, Volume 2: 35, Total Profit: 3325
Price 1 = 930, Profit 1: 70, Volume 1: 30, Price 2: 966 Profit 2: 34, Volume 2: 36, Total Profit: 3324
Price 1 = 930, Profit 1: 70, Volume 1: 30, Price 2: 967 Profit 2: 33, Volume 2: 37, Total Profit: 3321
Price 1 = 930, Profit 1: 70, Volume 1: 30, Price 2: 968 Profit 2: 32, Volume 2: 38, Total Profit: 3316
Price 1 = 930, Profit 1: 70, Volume 1: 30, Price 2: 969 Profit 2: 31, Volume 2: 39, Total Profit: 3309
Price 1 = 930, Profit 1: 70, Volume 1: 30, Price 2: 970 Profit 2: 30, Volume 2: 40, Total Profit: 3300
Price 1 = 930, Profit 1: 70, Volume 1: 30, Price 2: 971 Profit 2: 29, Volume 2: 41, Total Profit: 3289
Price 1 = 930, Profit 1: 70, Volume 1: 30, Price 2: 972 Profit 2: 28, Volume 2: 42, Total Profit: 3276
Price 1 = 930, Profit 1: 70, Volume 1: 30, Price 2: 973 Profit 2: 27, Volume 2: 43, Total Profit: 3261
Price 1 = 930, Profit 1: 70, Volume 1: 30, Price 2: 974 Profit 2: 26, Volume 2: 44, Total Profit: 3244
Price 1 = 930, Profit 1: 70, Volume 1: 30, Price 2: 975 Profit 2: 25, Volume 2: 45, Total Profit: 3225
Price 1 = 930, Profit 1: 70, Volume 1: 30, Price 2: 976 Profit 2: 24, Volume 2: 46, Total Profit: 3204
Price 1 = 930, Profit 1: 70, Volume 1: 30, Price 2: 977 Profit 2: 23, Volume 2: 47, Total Profit: 3181
Price 1 = 930, Profit 1: 70, Volume 1: 30, Price 2: 978 Profit 2: 22, Volume 2: 48, Total Profit: 3156
Price 1 = 930, Profit 1: 70, Volume 1: 30, Price 2: 979 Profit 2: 21, Volume 2: 49, Total Profit: 3129
Price 1 = 930, Profit 1: 70, Volume 1: 30, Price 2: 980 Profit 2: 20, Volume 2: 50, Total Profit: 3100
